"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
671143,NA,NA,"Candidatus Methylomirabilis oxyfera","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Candidatus Methylomirabilis",1170227,"genus"
1401027,NA,NA,"Flavobacterium limnosediminis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Flavobacterium",237,"genus"
74313,NA,NA,"Brevundimonas subvibrioides","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Brevundimonas",41275,"genus"
420994,NA,NA,"Sphingobium ummariense","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Sphingobium",165695,"genus"
2055,NA,NA,"Gordonia terrae","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Gordonia",2053,"genus"
38303,NA,NA,"Corynebacterium pseudogenitalium","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Corynebacterium",1716,"genus"
163164,NA,NA,"Wolbachia endosymbiont of Drosophila melanogaster","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Wolbachia",953,"genus"
84595,NA,NA,"Gordonia polyisoprenivorans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Gordonia",2053,"genus"
89053,NA,NA,"Gordonia amicalis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Gordonia",2053,"genus"
199592,NA,NA,"Microbacterium paraoxydans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Microbacterium",33882,"genus"
263909,NA,NA,"Gordonia araii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Gordonia",2053,"genus"
119,NA,NA,"Planctomyces brasiliensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Rubinisphaera",1649490,"genus"
134,NA,NA,"Methylocystis parvus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methylocystis",133,"genus"
192,NA,NA,"Azospirillum brasilense","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Azospirillum",191,"genus"
426,NA,NA,"Methylosinus trichosporium","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methylosinus",425,"genus"
668,NA,NA,"Aliivibrio fischeri","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Aliivibrio",511678,"genus"
1231,NA,NA,"Nitrosospira multiformis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Nitrosospira",35798,"genus"
2201,NA,NA,"Methanofollis liminatans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanofollis",81416,"genus"
2214,NA,NA,"Methanosarcina acetivorans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanosarcina",2207,"genus"
2221,NA,NA,"Methanolobus tindarius","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanolobus",2220,"genus"
