"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
730,NA,NA,"Haemophilus ducreyi","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Haemophilus",724,"genus"
985,NA,NA,"Cytophaga hutchinsonii","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Cytophaga",978,"genus"
659243,NA,NA,"Bacillus siamensis","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Bacillus",1386,"genus"
496058,NA,NA,"Spirosoma panaciterrae","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Spirosoma",107,"genus"
1097667,NA,NA,"Patulibacter medicamentivorans","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Patulibacter",361607,"genus"
351604,NA,NA,"Geobacter uraniireducens","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Geotalea",2910589,"genus"
250,NA,NA,"Chryseobacterium gleum","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Chryseobacterium",59732,"genus"
101192,NA,NA,"Methanomethylovorans hollandica","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Methanomethylovorans",101191,"genus"
562,NA,NA,"Escherichia coli","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Escherichia",561,"genus"
564,NA,NA,"Escherichia fergusonii","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Escherichia",561,"genus"
565,NA,NA,"Escherichia hermannii","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Atlantibacter",1903434,"genus"
208962,NA,NA,"Escherichia albertii","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Escherichia",561,"genus"
2047,NA,NA,"Rothia dentocariosa","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Rothia",32207,"genus"
1638,NA,NA,"Listeria ivanovii","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Listeria",1637,"genus"
1121084,NA,NA,"Bacillus acidiproducens","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Weizmannia",2817139,"genus"
45663,NA,NA,"Desulfohalobium retbaense","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Desulfohalobium",45662,"genus"
2214,NA,NA,"Methanosarcina acetivorans","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Methanosarcina",2207,"genus"
88724,NA,NA,"Natrinema versiforme","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Natrinema",88723,"genus"
302484,NA,NA,"Haloferax larsenii","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Haloferax",2251,"genus"
293091,NA,NA,"Haloquadratum walsbyi","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Haloquadratum",293431,"genus"
430914,NA,NA,"Halorhabdus tiamatea","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Halorhabdus",146825,"genus"
336261,NA,NA,"Thermovirga lienii","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Thermovirga",336260,"genus"
69499,NA,NA,"Petrotoga mobilis","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Petrotoga",28236,"genus"
202747,NA,NA,"Sulfurimonas autotrophica","optimal ph",6.75,"The Microbe Directory","exp","usually","low","species","Sulfurimonas",202746,"genus"
29581,NA,NA,"Janthinobacterium lividum","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Janthinobacterium",29580,"genus"
615,NA,NA,"Serratia marcescens","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Serratia",613,"genus"
28151,NA,NA,"Serratia proteamaculans","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Serratia",613,"genus"
82996,NA,NA,"Serratia plymuthica","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Serratia",613,"genus"
614,NA,NA,"Serratia liquefaciens","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Serratia",613,"genus"
329,NA,NA,"Ralstonia pickettii","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Ralstonia",48736,"genus"
225196,NA,NA,"Geopsychrobacter electrodiphilus","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Geopsychrobacter",271087,"genus"
618,NA,NA,"Serratia odorifera","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Serratia",613,"genus"
64602,NA,NA,"Natrialba asiatica","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Natrialba",63742,"genus"
428712,NA,NA,"Jonquetella anthropi","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Jonquetella",428711,"genus"
1519,NA,NA,"Clostridium tyrobutyricum","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Clostridium",1485,"genus"
371601,NA,NA,"Bacteroides xylanisolvens","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Bacteroides",816,"genus"
1161942,NA,NA,"Ruminococcus champanellensis","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Ruminococcus",1263,"genus"
1175444,NA,NA,"Methanocella conradii","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Methanocella",570266,"genus"
85874,NA,NA,"Thermacetogenium phaeum","optimal ph",6.8,"The Microbe Directory","exp","usually","low","species","Thermacetogenium",140458,"genus"
